time,temp,hum,press,level,gap,force,position,speed,rpm,deviation
49,546,806,991,919,420,507,571.9441,771.3072,262.478,927.4393
50,175,586,352,339,529,456,174.4751,783.0628,425.863,731.6872
51,645,271,210,710,945,96,423.0495,9.1573,840.3517,857.5306
52,230,830,625,768,745,691,295.1819,102.6358,341.4171,533.3602
53,472,521,697,935,969,676,470.6564,408.3239,42.1822,336.2431
54,513,935,665,287,813,647,299.3827,870.6403,682.4573,997.3247
55,385,46,905,268,14,739,74.3146,182.4508,820.4734,647.3224
56,810,796,553,569,380,214,360.9638,755.4201,334.0633,343.3853
57,780,843,716,992,378,613,465.5619,365.5202,671.3392,242.9235
58,776,829,30,566,682,261,921.4212,371.4907,455.6741,612.8421
59,74,837,948,400,750,427,760.5565,846.6821,810.9254,410.1152
60,152,684,577,165,304,320,400.9462,825.8006,922.1164,691.5256
61,457,895,701,624,891,351,98.6245,290.3622,789.7604,222.2021
62,789,132,169,107,132,940,776.0694,542.5603,539.9516,165.3622
63,184,93,415,699,773,151,737.9031,316.9885,869.7181,63.0388
64,619,110,351,651,118,610,127.959,757.4016,88.5838,614.7332
65,675,521,686,17,996,765,438.5723,169.3949,464.7642,858.6118
66,523,917,745,760,713,567,248.9205,939.6318,504.8319,872.8009
67,165,609,580,346,859,831,653.5811,920.9796,912.0487,872.2638
68,814,795,980,659,982,231,942.901,35.6354,230.1735,876.1315
69,224,986,276,646,319,994,242.9102,478.7651,400.1003,771.262
70,713,558,90,863,328,305,999.8063,130.5514,448.3209,912.7865
71,754,699,37,662,379,697,621.1305,411.6617,845.3393,780.3199
72,169,928,570,94,441,548,35.9934,826.7337,647.4186,428.7328
73,295,627,975,794,957,985,507.6201,271.2546,810.5489,578.2417
74,555,632,435,738,893,900,641.3799,44.0915,741.3211,585.178
75,847,666,742,733,580,211,14.4673,888.1926,839.4208,461.814
76,653,528,241,902,365,159,598.6832,452.5496,547.2878,642.3862
77,432,861,615,265,4,438,668.328,882.2237,196.942,650.2719
78,806,915,890,734,788,699,620.0158,782.6782,240.4827,844.5923
79,182,407,322,508,816,514,836.5857,417.9463,791.7907,890.1291
80,500,340,145,569,941,975,839.6779,591.3349,734.1666,120.4017
81,128,876,434,700,991,397,420.1763,537.5941,800.1741,780.1643
82,961,137,230,935,435,906,26.6087,844.0916,331.3117,170.1289
83,655,46,795,972,262,44,643.3566,891.5263,788.8298,564.3835
84,757,566,776,461,919,531,489.3853,825.1078,199.4589,35.8964
85,415,245,271,581,63,228,62.8713,46.8088,450.7552,430.6292
86,198,679,966,334,49,50,95.87,860.4978,135.4064,190.2993
87,809,375,52,737,533,5,245.2612,712.5466,78.1631,703.5235
88,390,220,875,324,85,877,888.3468,34.3011,72.7031,940.7577
89,198,356,89,142,310,426,929.2335,681.921,901.6351,110.1528
90,435,633,802,160,692,193,980.089,776.2866,44.9449,857.7896
91,240,313,59,776,970,492,246.1691,379.3066,177.9479,289.9593
92,764,368,335,843,360,229,757.7387,242.9198,315.7317,352.3197
93,958,48,798,369,690,986,770.9767,736.5458,544.6236,118.0683
94,981,467,538,878,141,63,203.1541,671.0698,433.8527,532.1525
95,911,228,617,490,440,694,180.9395,173.8252,691.9854,72.9954
96,227,706,714,259,731,214,745.0111,717.2167,533.6667,369.0262
97,649,338,823,182,47,825,382.8535,676.3882,453.6673,927.7755
98,403,46,983,678,569,991,60.8791,146.8766,767.3343,79.275
99,436,993,630,582,398,84,34.1987,142.1537,585.6462,733.4731
100,230,37,248,313,842,720,345.0719,757.8559,901.1738,270.5121
101,109,470,716,832,986,879,21.8595,536.6288,352.3639,866.0795
102,749,245,637,116,41,933,695.8129,297.7579,451.1668,166.8752
103,244,389,68,174,726,78,734.9385,721.2634,693.3309,430.0941
104,177,761,440,299,396,716,412.13,228.5327,151.9051,819.403
105,320,712,15,699,377,355,266.8722,96.9387,758.6916,33.7294
106,129,430,388,914,645,648,671.4309,295.2552,208.0436,628.8606
107,981,810,79,837,838,199,567.4709,395.0235,615.0047,500.5044
108,70,231,791,162,465,815,384.7073,66.1716,745.8219,32.8585
109,990,735,286,377,540,698,968.2916,974.4953,10.6198,137.8042
110,376,303,307,628,598,440,912.7162,649.9886,786.2002,237.9863
111,639,925,263,703,145,476,753.2331,958.3293,283.5664,272.8059
112,585,222,445,140,814,518,422.6646,974.2934,491.9934,297.411
113,366,76,729,111,26,38,414.1287,944.6672,470.5016,597.5285
114,207,841,635,531,772,528,954.7769,656.6515,497.4184,560.3045
115,58,930,501,304,352,570,325.402,507.1797,720.4287,80.6663
116,445,689,820,611,244,820,59.3331,968.4372,754.0605,366.2549
117,82,842,320,563,107,723,237.4748,917.78,972.9918,686.7679
118,464,288,9,564,407,243,300.5132,914.4414,82.5309,777.8045
119,488,482,11,691,227,973,454.0828,512.1405,44.9924,497.2937
120,24,850,39,503,559,111,371.6949,491.2308,889.3279,529.7887
121,974,693,427,476,488,877,581.3235,693.3117,99.5419,944.4262
122,188,96,285,429,162,357,510.2819,895.3532,750.0443,83.9158
123,312,390,278,618,447,78,943.0001,388.4102,62.2877,296.8076
124,289,340,303,737,78,582,979.9428,612.4411,716.5125,694.8859
125,86,465,60,588,481,226,688.596,530.127,832.8058,950.6092
126,161,128,925,300,553,906,277.2538,1.9403,956.0908,269.4364
127,251,544,978,633,446,953,730.9793,196.4134,349.4512,319.2466
128,673,249,528,415,331,630,817.9652,229.0842,447.6925,570.3602
129,99,985,7,468,224,70,525.7436,960.6837,171.0189,983.072
130,624,845,507,899,253,11,485.2232,188.2534,793.2442,576.9384
131,544,577,656,841,451,525,445.7874,700.3263,698.0187,474.7213
132,836,897,772,457,958,398,140.9839,612.9878,895.2203,532.549
133,732,101,384,439,476,789,374.6025,349.9941,704.5648,822.6657
134,645,289,571,469,806,776,10.3322,500.8219,987.9595,459.9515
135,406,414,428,754,215,665,624.7663,571.4728,727.0015,850.75
136,877,694,286,309,950,448,928.7933,705.6936,945.3398,272.1493
137,404,139,364,776,589,97,540.2278,200.7802,427.2336,47.4893
138,290,728,870,880,878,782,648.2256,137.4903,748.1167,397.4481
139,940,804,736,300,545,72,383.6686,907.4278,992.1614,753.764
140,174,358,404,647,954,685,37.0023,556.7769,832.539,399.3349
141,256,559,277,947,412,457,302.742,72.0049,314.2576,663.7297
142,812,211,251,707,675,634,903.2066,403.1231,795.6697,19.4185
143,702,587,671,684,194,352,227.695,551.6046,867.9556,125.8613
144,12,430,301,926,443,726,427.0597,542.9971,769.6284,96.1177
145,777,263,950,432,313,711,806.4683,508.2535,887.7147,969.1518
146,679,699,197,261,141,818,668.4211,144.3452,6.7752,891.5668
147,139,624,875,623,676,780,939.2483,640.585,962.1234,98.1194
148,774,256,448,995,481,671,88.5931,250.1788,385.2656,67.307
149,138,518,166,621,178,325,922.6504,282.047,648.9856,972.323
150,639,434,188,213,268,768,650.0756,508.7363,500.7054,159.2223
151,933,363,911,973,375,922,805.3154,238.7337,499.6734,357.4086
152,58,121,302,459,903,558,761.097,386.3371,533.2923,432.1597
153,771,983,18,182,405,701,628.7808,767.7525,632.7,790.0406
154,157,182,101,904,35,340,61.3905,629.9062,289.9222,699.8653
155,710,680,627,309,339,700,44.1007,841.2122,490.7522,398.4125
156,726,875,339,951,443,538,982.9299,591.7067,711.1244,2.0469
157,539,465,972,231,716,671,165.2689,360.9802,955.9845,827.9445
158,565,51,492,672,836,485,32.1482,692.7083,713.3621,280.9127
159,520,537,576,49,474,462,991.5018,46.1279,474.1601,701.0377
160,493,177,963,550,917,56,376.4408,145.7533,614.3356,278.2163
161,169,558,759,416,879,571,843.5036,192.6432,981.3122,204.1873
162,885,232,344,580,285,225,732.267,342.9572,977.9985,37.8723
163,98,241,38,776,218,786,954.2903,605.6813,384.5539,870.987
164,734,651,82,321,336,397,584.4702,509.1242,136.4877,452.9875
165,779,918,566,208,654,210,753.6201,948.8612,742.5877,970.4111
166,773,916,182,908,778,221,527.1804,331.2207,757.3952,147.443
167,406,416,914,91,729,932,536.1358,509.4464,318.4011,328.714
168,505,96,391,74,988,560,647.9028,802.8182,578.9613,432.1413
169,72,754,543,409,866,447,937.2183,548.5663,542.6915,208.1879
170,906,1000,752,8,576,451,851.2384,628.798,141.1555,644.5483
171,456,501,289,215,694,99,435.5542,937.8665,860.2221,460.3668
172,399,12,749,502,947,928,877.3955,315.502,781.986,588.0343
173,62,175,114,504,96,382,822.5532,657.2414,517.5415,227.0585
174,924,58,520,497,20,970,35.5735,509.0205,826.1534,209.0154
175,579,926,713,895,785,877,741.9297,782.7097,14.8934,765.3639
176,885,706,492,631,320,131,224.6106,360.1456,990.7694,680.0338
177,40,603,298,862,239,651,278.8176,413.1042,624.6674,75.0713
178,868,82,245,707,744,484,44.1471,315.688,170.624,891.4186
179,628,365,488,261,944,693,292.2853,951.106,222.5552,741.6298
180,285,21,826,124,302,30,33.3848,385.825,395.835,592.8358
181,266,312,991,801,645,129,670.9019,827.4494,584.1886,879.2341
182,761,345,463,268,606,16,806.1482,378.1575,137.4656,524.9737
183,395,410,604,857,371,938,519.1493,35.0612,946.6912,418.1524
184,542,367,952,380,721,617,913.7806,330.7562,549.6714,550.3657
185,575,449,625,597,711,445,382.352,865.0795,906.9433,60.5583
186,881,998,621,503,928,517,546.5409,796.249,192.2302,155.767
187,73,494,468,786,818,935,593.8505,76.8716,408.4994,463.8195
188,74,529,930,642,731,194,914.5038,628.347,964.0226,876.4886
189,514,436,597,69,614,988,444.3763,983.2795,540.4452,624.9698
190,492,861,638,525,859,982,173.9744,514.4646,273.5629,563.7531
191,426,200,211,235,178,438,74.0328,66.6984,40.3007,495.145
192,341,776,636,893,531,182,31.767,577.9272,565.0457,954.8633
193,772,97,595,477,746,331,594.6434,500.5699,452.2561,321.497
194,496,738,531,809,246,616,705.6667,231.6146,109.0261,886.0543
195,762,403,449,129,137,36,419.0339,756.8457,505.7865,537.8091
196,540,185,928,19,826,912,942.6703,686.3861,961.697,918.6731
197,300,74,463,67,591,907,68.5651,134.8838,173.0463,666.2863
198,816,995,339,506,274,448,405.7254,805.4389,472.0244,449.4125
199,893,959,743,683,575,658,437.6299,226.9866,426.2512,329.936
200,492,490,589,658,462,385,284.9536,966.1902,309.8695,933.3875
201,184,585,736,42,722,519,81.9944,814.9489,37.7341,107.3039
202,85,534,950,720,385,757,477.2686,182.7855,432.7831,850.9326
203,490,214,447,615,46,9,538.2204,974.9562,978.7104,469.0408
204,620,685,358,157,921,260,832.4635,7.0451,955.8724,930.2947
205,970,27,151,139,746,575,701.3625,373.8942,650.6855,369.686
206,639,234,114,744,253,532,307.2511,448.9345,343.8822,592.4933
207,109,508,668,468,149,411,206.2093,539.556,827.9421,262.1357
208,330,967,577,594,772,65,934.3672,415.4695,324.1698,395.167
209,141,678,947,322,756,1,958.9255,972.2108,252.2205,40.9915
210,218,343,756,277,404,967,391.8739,572.6072,620.2296,500.3252
211,901,421,824,51,953,189,581.9932,257.3679,183.8176,967.1
212,22,766,386,42,137,600,365.8796,112.5862,55.7594,182.345
213,529,475,96,879,87,57,974.776,21.1647,951.9873,276.2295
214,596,693,746,93,421,265,341.0204,227.4525,541.4962,898.4417
215,202,876,281,530,286,602,966.0386,875.1333,899.1107,409.3058
216,442,214,414,856,468,484,820.7,868.8937,997.7296,642.4914
217,623,255,195,52,300,395,846.2662,447.1858,723.0869,849.1777
218,23,752,197,281,463,98,968.7814,93.9689,904.821,861.4027
219,301,911,548,17,574,934,652.3634,962.3625,895.077,803.0093
220,444,460,544,274,756,818,495.2897,146.127,369.0958,990.1595
221,989,964,488,878,882,897,75.5196,859.5471,228.9237,708.5549
222,844,268,856,917,150,246,569.4164,868.2364,485.0445,916.814
223,734,454,346,383,527,518,64.0803,58.1157,458.702,148.872
224,324,156,879,384,970,874,101.7675,41.9745,684.5748,404.6122
225,672,424,68,320,240,88,1.6528,515.4747,913.166,847.9129
226,866,407,299,803,252,178,279.93,254.7128,507.412,339.2797
227,431,438,32,433,469,600,488.6292,377.4856,117.1429,606.8923
228,613,526,860,376,146,881,460.3297,227.4054,276.4465,453.1025
229,358,796,397,284,318,708,267.379,598.2788,513.8609,742.1247
230,976,134,3,703,259,311,637.0275,993.5406,912.9074,561.0388
231,905,816,694,348,710,529,604.7776,413.6891,876.991,881.6725
232,437,142,973,714,378,495,113.7323,641.1709,672.1955,672.7671
233,944,293,111,572,432,495,190.9985,281.4186,413.0317,351.7228
234,423,887,23,319,805,733,208.7887,412.2747,759.3938,149.5092
235,237,470,99,942,264,845,709.7373,297.5478,591.6008,370.0214
236,43,547,155,373,58,734,840.2596,49.3191,604.0896,133.3357
237,382,427,788,404,752,82,9.613,870.8368,913.7914,198.5024
238,259,867,511,439,115,22,468.1815,57.6807,216.0098,190.327
239,899,226,407,741,464,560,384.9958,519.0465,932.6119,865.6222
240,384,666,269,37,289,260,763.7873,795.9858,732.0999,956.1519
241,972,441,853,816,547,248,20.312,814.6407,841.6805,594.4921
242,144,620,865,429,137,568,507.8112,64.3283,713.3729,417.6826
243,609,912,111,137,341,216,401.5379,734.3318,287.2662,900.358
244,324,803,696,680,295,182,718.4151,975.0915,545.718,420.6072
245,622,232,791,49,440,354,929.2995,127.7489,3.0665,44.0168
246,553,75,145,334,123,609,308.3947,326.7355,384.3883,858.7262
247,955,61,829,449,85,243,299.0996,370.4326,142.6403,579.613
248,512,437,160,997,149,23,426.0489,783.0309,674.3941,564.7993
249,90,781,928,359,276,280,717.5086,367.9349,385.9983,227.0368
250,486,779,156,469,719,307,433.2066,548.1012,403.1936,973.4392
251,145,761,665,785,75,719,802.5229,211.2991,635.8293,825.5414
252,209,520,896,230,161,955,711.7692,434.3228,473.2318,344.8435
253,381,229,894,440,404,236,463.2036,318.056,715.863,955.4858
254,934,686,505,246,932,432,418.7396,206.2998,769.2721,766.0302
255,56,704,926,831,738,302,825.1284,831.0273,787.2756,775.6568
256,349,146,983,995,673,581,58.4298,142.7085,864.6266,455.7405
257,64,43,883,654,716,314,92.8785,39.2892,520.8558,166.3411
258,982,705,46,699,405,131,878.6751,452.2661,144.8169,646.7515
259,429,268,386,536,438,769,298.2363,623.5228,422.9515,47.8473
260,763,231,677,738,801,98,119.2682,335.5849,295.5595,560.0314
261,462,227,777,492,979,446,487.5479,205.4753,861.772,243.1418
262,59,954,542,186,768,603,875.8807,795.7732,287.5725,605.2099
263,720,205,415,25,228,234,561.1528,832.2755,642.9983,806.8221
264,116,710,882,463,308,719,268.0834,401.6612,195.2664,308.0253
265,438,105,74,384,772,963,498.8545,386.3606,409.9192,706.0169
266,664,258,533,769,659,762,302.859,187.0811,648.8977,718.9857
267,910,1000,829,988,518,78,161.1226,502.7148,403.6137,86.4859
268,544,586,254,833,380,969,702.3824,714.9932,234.1474,345.6942
269,811,957,68,762,128,230,330.7381,411.8722,635.3768,780.9805
270,472,779,941,895,142,236,625.2347,13.9088,969.0337,246.2945
271,825,632,860,546,820,209,167.8348,131.8199,392.9541,201.8921
272,241,204,377,164,821,394,253.2051,801.4968,998.1682,686.2748
273,926,825,156,513,711,56,983.9828,616.4889,493.5398,373.5546
274,827,736,93,456,715,39,502.7481,162.2709,459.919,836.7366
275,389,890,989,887,680,18,991.8632,941.1928,353.3646,450.0857
276,189,736,863,873,238,315,234.3665,293.6428,476.8828,703.1518
277,794,311,734,934,670,751,37.2404,590.3959,545.1388,611.817
278,924,929,79,154,929,657,471.2572,410.3957,107.4992,167.6022
279,445,412,347,428,835,728,453.422,310.179,389.4422,970.6219
280,415,331,11,791,801,636,245.9093,742.9812,616.4188,806.3416
281,748,662,984,439,20,459,343.6478,100.0722,375.9446,408.8802
282,672,484,43,745,597,537,2.4017,367.4826,928.8243,628.6438
283,847,576,362,408,177,691,825.3894,56.962,81.333,211.6424
284,631,513,465,511,928,310,161.363,167.9019,992.8758,293.485
285,981,176,16,128,309,318,811.9154,257.842,991.6555,545.2096
286,272,698,523,708,113,887,727.4402,601.8234,629.2582,758.0936
287,270,921,591,32,283,587,940.0277,748.8127,392.5019,934.1362
288,340,866,484,463,895,38,394.8547,237.202,346.3693,718.4285
289,740,189,845,929,289,754,658.3754,799.2821,405.4149,166.4313
290,629,358,3,204,699,62,798.4502,872.4188,952.6072,846.3317
291,796,565,644,744,697,758,48.6604,997.5163,342.9292,497.3518
292,924,723,389,674,926,913,950.4684,348.3056,216.4272,638.268
293,791,783,566,37,428,816,711.675,146.7781,835.0565,372.4094
294,271,319,201,725,12,692,248.9821,40.4539,149.6402,364.2156
295,659,308,68,81,790,421,637.0431,283.3333,842.0113,946.8012
296,909,616,88,895,676,995,567.5688,916.7501,454.1906,396.8786
297,407,264,804,265,322,308,674.1833,848.6286,394.6273,460.6869
298,315,802,420,417,182,447,6.9838,409.7038,475.3997,612.4673
299,364,293,1,933,198,353,132.6082,276.147,327.4015,10.5645
300,415,882,518,634,616,237,100.7415,836.8444,198.1024,541.6845
301,151,602,877,679,642,618,273.8452,553.6566,436.9824,620.222
302,543,884,505,147,665,155,200.2678,136.4952,478.0383,984.2851
303,770,7,500,7,523,395,588.1211,293.6777,844.554,12.5906
304,610,34,218,52,557,683,309.0388,850.8776,401.903,734.5409
305,33,793,166,202,361,987,62.1347,955.1111,839.3947,594.7735
306,992,345,451,826,180,243,570.7874,136.845,867.341,848.3044
307,447,456,932,997,69,172,474.5297,384.12,975.0803,93.5927
308,918,992,831,660,871,503,802.748,391.6627,937.1341,679.1273
309,91,836,72,537,437,516,975.1436,380.6647,249.9688,637.5564
310,66,122,94,224,341,516,382.5044,747.0403,380.0908,27.2018
311,27,965,250,283,149,571,633.9,791.3901,336.323,609.9999
312,680,955,262,373,621,455,241.0226,272.8526,503.3279,580.7207
313,481,323,711,241,298,738,269.0322,22.6659,239.4378,860.1981
314,422,575,449,336,610,567,1000.9403,489.3018,452.3559,926.1731
315,764,383,679,891,742,780,331.7728,882.2433,673.4007,564.5257
316,31,356,248,690,582,485,332.372,803.2027,681.0088,812.3228
317,561,1,498,987,733,199,185.3046,411.6402,878.9838,913.1646
318,825,491,319,74,752,927,301.1678,649.1742,331.5829,824.7124
319,673,204,212,667,280,450,373.8854,364.7709,424.7743,979.5166
320,150,60,521,433,87,400,827.7122,310.2346,963.563,737.1662
321,599,82,508,962,147,285,48.7715,169.2808,332.1279,548.2414
322,972,855,719,254,458,364,57.5798,802.8029,643.0026,710.2087
323,6,522,113,942,299,854,777.3636,943.4336,642.3122,600.2421
324,536,693,750,523,729,2,782.3217,150.9351,6.2448,144.6088
325,838,50,248,628,97,992,748.6659,834.3605,875.6603,54.9815
326,31,4,885,986,961,50,916.1851,111.5089,212.0942,142.4347
327,325,543,576,424,985,911,697.9898,152.2792,548.7522,969.0728
328,927,853,722,703,864,964,857.2256,949.6964,489.3175,873.4955
329,202,770,491,708,877,333,132.8155,27.2107,993.9759,742.3972
330,735,580,241,23,393,59,903.1915,439.0267,790.5617,355.3805
331,603,958,240,852,273,223,425.9722,191.1699,670.8101,757.2287
332,596,627,25,159,507,448,949.1233,922.8972,18.2804,420.7014
333,780,535,259,534,18,317,933.3755,389.3955,243.6057,652.4574
334,916,471,798,989,330,666,196.6917,45.6914,38.7701,646.086
335,792,3,446,323,366,188,748.6207,196.3104,836.2353,557.2959
336,959,745,528,423,472,409,949.4967,291.7232,97.1819,14.9764
337,705,91,910,56,528,675,344.8812,478.9767,253.0768,498.795
338,826,168,722,456,337,361,618.6686,738.6662,283.8987,797.8161
339,239,648,775,265,134,473,341.0251,398.8109,527.7746,393.4152
340,83,561,722,798,489,258,256.8197,799.992,142.0545,854.4857
341,509,119,826,185,196,522,349.6169,518.2669,183.517,834.2563
342,816,460,604,961,515,413,997.851,973.2908,377.3389,969.6573
343,620,129,408,571,267,990,309.0682,431.6768,549.3867,310.1435
344,957,115,154,580,846,969,850.4406,646.2686,626.9969,406.0707
345,962,623,918,380,343,350,407.1676,114.8878,939.3755,805.2252
346,189,639,556,772,919,400,82.4833,638.7461,272.2132,24.2854
347,821,731,791,478,854,378,129.0642,480.9609,597.1938,328.242
348,574,386,188,129,878,854,863.0044,659.9051,121.8724,906.5324
349,722,342,380,597,324,900,251.6721,102.4486,13.5299,791.5797
350,277,750,617,739,82,355,600.7311,592.0161,814.3573,626.4657
351,94,364,685,490,312,528,45.4568,77.7117,959.7665,176.9553
352,143,96,268,794,105,532,366.7563,297.3296,958.4433,626.6675
353,636,893,261,85,347,276,90.8826,551.9585,631.4735,265.4603
354,223,165,998,548,410,261,378.8352,703.097,312.0984,474.8508
355,355,274,812,721,685,362,603.9225,687.1184,492.3668,550.8561
356,438,209,326,557,442,543,43.4364,148.2561,966.52,349.5702
357,983,272,161,770,580,723,326.8362,711.753,340.6233,10.66
358,157,150,35,997,737,892,918.2692,612.1241,407.0807,73.7353
359,664,979,53,105,644,71,209.355,24.7171,345.1301,230.9192
360,574,736,731,31,177,445,511.136,311.8586,982.8594,347.6344
361,157,189,138,285,424,862,547.7181,550.3045,594.4252,747.1004
362,789,775,676,963,802,337,909.6561,364.7833,978.8872,408.7797
363,7,92,863,296,64,483,359.5074,921.4486,271.7299,417.0597
364,533,413,535,614,285,840,4.7437,683.8665,184.7767,989.6494
365,703,539,49,459,103,619,486.7547,719.9316,883.3124,76.2941
366,221,29,795,846,556,432,983.9601,617.8402,296.3875,528.7936
367,844,657,632,625,57,767,888.9707,880.6756,706.3858,518.5704
368,60,230,754,173,609,186,166.4602,584.5214,852.9322,674.5226
369,348,219,818,292,983,601,262.5006,293.4166,721.2912,384.4472
370,614,621,450,578,825,526,233.4745,152.694,717.8982,412.0579
371,635,618,60,630,920,280,180.543,87.9414,598.6135,826.4189
372,994,702,173,450,133,642,77.7123,314.2752,948.5128,182.1884
373,288,695,185,518,361,167,272.0424,64.8604,826.4803,665.1758
374,198,891,187,29,814,108,699.1664,770.2498,357.2439,844.7471
375,771,649,216,623,899,668,851.1628,383.2981,409.8082,453.9144
376,335,665,592,109,238,586,777.0898,438.613,779.1327,92.7805
377,375,870,39,841,860,391,998.0439,841.8529,217.6302,295.3018
378,63,102,430,218,751,87,549.5279,706.4209,624.9601,259.8695
379,676,56,748,241,188,990,323.283,115.2259,773.2641,225.5859
380,128,918,189,469,600,975,947.6674,51.9,676.1655,584.4182
381,315,681,290,904,405,647,699.8721,638.6929,734.4737,20.3031
382,291,378,224,700,577,390,817.9856,448.4168,666.118,9.9301
383,105,187,332,688,28,824,144.7133,687.8815,321.5432,66.9318
384,424,568,610,841,916,436,536.7006,195.5901,807.1741,822.8006
385,49,555,615,623,474,477,215.314,369.8926,429.7743,237.9477
386,107,109,992,844,138,765,106.0017,398.482,633.3383,995.0516
387,850,219,732,217,169,465,737.1845,285.8278,735.3997,648.7912
388,456,1000,143,325,751,895,883.8579,694.0017,929.5642,114.1727
389,498,51,206,725,619,255,230.1493,267.8767,571.0774,299.1609
390,163,485,362,333,271,216,873.0547,539.3641,593.7528,424.4125
391,814,920,736,283,97,169,220.746,457.6015,597.4384,105.9852
392,81,186,804,945,2,965,105.1156,311.7209,346.8364,542.2119
393,877,613,387,995,570,863,855.655,333.3287,768.0786,705.6775
394,1000,549,652,705,867,682,964.3961,148.7739,794.2392,971.5694
395,620,961,595,833,764,760,37.1134,785.7345,410.7217,32.4692
396,625,41,825,315,338,878,995.8258,589.7993,960.205,739.2951
397,49,146,83,280,622,557,404.6104,305.0067,964.6199,577.1074
398,115,30,749,419,181,857,474.0355,914.8188,254.8076,401.989
399,113,101,194,291,486,678,848.1925,587.6259,983.6758,194.0663
400,186,197,815,186,86,507,770.9628,872.7803,702.6337,845.8349
401,276,626,52,257,556,504,672.274,732.6844,495.165,545.9598
402,827,111,958,173,593,589,327.7166,892.3644,953.3602,362.1362
403,814,303,822,355,416,373,476.3684,693.5801,999.7872,813.1797
404,102,832,222,146,472,86,66.0867,437.7544,314.7323,252.5852
405,468,168,192,465,200,321,593.1446,751.6642,501.1465,942.6846
406,666,497,349,237,7,778,784.2136,674.7064,644.4865,175.3988
407,859,376,789,258,826,731,684.4423,419.548,357.4202,650.8974
408,453,424,654,51,849,670,587.078,957.8783,113.3912,107.8371
409,274,850,17,525,393,554,310.8787,558.1987,845.7043,717.8033
410,634,289,244,548,166,697,480.0352,855.839,885.1079,283.476
411,644,777,811,797,974,989,869.1353,484.8199,882.3666,308.3462
412,337,878,328,965,884,675,598.695,454.681,704.4622,227.119
413,328,893,683,595,808,312,376.0629,571.7702,10.3816,820.6493
414,336,127,397,41,253,987,372.0666,716.4738,657.2789,653.0845
